,armyPower,mostPowerful,economyGPD,population,mostSafely,democracy,caltureInfl
unitedstates,1,1,1,0.991452991,0.787709497,0.84939759,0.97029703
russia,0.993103448,0.986013986,0.960451977,0.965811966,0.296089385,0.253012048,0.900990099
china,0.986206897,0.993006993,0.994350282,0.995726496,0.569832402,0.120481928,0.841584158
india,0.979310345,0.979020979,0.97740113,1,0.407821229,0.728915663,0.940594059
southkorea,0.972413793,0.958041958,0.93220339,0.88034188,0.888268156,0.903614458,0.712871287
unitedkingdom,0.965517241,0.972027972,0.971751412,0.914529915,0.826815642,0.879518072,0.95049505
japan,0.95862069,0.965034965,0.988700565,0.952991453,0.899441341,0.909638554,0.920792079
turkey,0.951724138,0.937062937,0.898305085,0.927350427,0.290502793,0.385542169,0.762376238
pakistan,0.944827586,0.86013986,0.774011299,0.982905983,0.17877095,0.391566265,0.4
italy,0.937931034,0.944055944,0.949152542,0.897435897,0.815642458,0.819277108,1
france,0.931034483,0.951048951,0.966101695,0.905982906,0.905027933,0.873493976,0.96039604
brazil,0.924137931,0.93006993,0.943502825,0.974358974,0.396648045,0.734939759,0.851485149
indonesia,0.917241379,0.916083916,0.915254237,0.987179487,0.547486034,0.698795181,0.643564356
iran,0.910344828,0.888111888,0.779661017,0.931623932,0.223463687,0.072289157,0.118811881
egypt,0.903448276,0.923076923,0.830508475,0.944444444,0.279329609,0.21686747,0.732673267
australia,0.896551724,0.895104895,0.937853107,0.769230769,0.938547486,0.951807229,0.831683168
israel,0.889655172,0.902097902,0.853107345,0.585470085,0.87,0.86746988,0.623762376
ukraine,0.722758621,0.48951049,0.677966102,0.829059829,0.100558659,0.487951807,0.445544554
germany,0.875862069,0.853146853,0.983050847,0.923076923,0.927374302,0.921686747,0.881188119
spain,0.868965517,0.874125874,0.920903955,0.867521368,0.804469274,0.855421687,0.98019802
poland,0.862068966,0.881118881,0.88700565,0.846153846,0.793296089,0.710843373,0.603960396
vietnam,0.855172414,0.839160839,0.807909605,0.935897436,0.659217877,0.204819277,0.584158416
saudiarabia,0.848275862,0.909090909,0.90960452,0.833333333,0.558659218,0.108433735,0.702970297
taiwan,0.84137931,0.867132867,0.87,0.760683761,0.95,0.957831325,0.683168317
thailand,0.834482759,0.832167832,0.84180791,0.918803419,0.508379888,0.560240964,0.722772277
algeria,0.827586207,0.825174825,0.694915254,0.858974359,0.463687151,0.343373494,0.366336634
canada,0.820689655,0.734265734,0.95480226,0.841880342,0.966480447,0.945783133,0.811881188
argentina,0.813793103,0.811188811,0.881355932,0.863247863,0.776536313,0.71686747,0.663366337
sweden,0.806896552,0.748251748,0.875706215,0.632478632,0.94972067,0.981927711,0.742574257
singapore,0.8,0.797202797,0.81920904,0.517094017,0.921787709,0.614457831,0.782178218
mexico,0.793103448,0.79020979,0.926553672,0.961538462,0.474860335,0.493975904,0.693069307
greece,0.786206897,0.804195804,0.700564972,0.615384615,0.687150838,0.813253012,0.99009901
southafrica,0.779310345,0.776223776,0.796610169,0.901709402,0.43575419,0.740963855,0.613861386
philippines,0.772413793,0.783216783,0.790960452,0.948717949,0.340782123,0.686746988,0.633663366
myanmar,0.765517241,0.741258741,0.531073446,0.888888889,0.067039106,0.012048193,0.168316832
northkorea,0.75862069,0.769230769,0.5,0.764957265,0.212290503,0.018072289,0.02
bangladesh,0.751724138,0.727272727,0.813559322,0.97008547,0.229050279,0.578313253,0.346534653
portugal,0.744827586,0.72027972,0.728813559,0.606837607,0.916201117,0.837349398,0.930693069
nigeria,0.737931034,0.755244755,0.836158192,0.978632479,0.083798883,0.36746988,0.217821782
netherlands,0.731034483,0.818181818,0.903954802,0.696581197,0.944134078,0.939759036,0.821782178
norway,0.724137931,0.762237762,0.870056497,0.495726496,1,1,0.772277228
malaysia,0.717241379,0.713286713,0.802259887,0.807692308,0.69273743,0.771084337,0.673267327
switzerland,0.710344828,0.699300699,0.892655367,0.572649573,0.977653631,0.93373494,0.910891089
colombia,0.703448276,0.706293706,0.762711864,0.884615385,0.329608939,0.680722892,0.376237624
iraq,0.696551724,0.692307692,0.734463277,0.854700855,0.150837989,0.307228916,0.148514851
czechrepublic,0.689655172,0.671328671,0.745762712,0.623931624,0.843575419,0.825301205,0.594059406
romania,0.682758621,0.678321678,0.757062147,0.730769231,0.720670391,0.638554217,0.485148515
denmark,0.675862069,0.657342657,0.785310734,0.512820513,0.972067039,0.969879518,0.792079208
ethiopia,0.668965517,0.664335664,0.666666667,0.957264957,0.061452514,0.271084337,0.297029703
finland,0.662068966,0.65034965,0.740112994,0.5,0.988826816,0.987951807,0.801980198
unitedarabemirates,0.655172414,0.846153846,0.847457627,0.594017094,0.87150838,0.210843373,0.871287129
chile,0.648275862,0.685314685,0.751412429,0.726495726,0.82122905,0.861445783,0.495049505
peru,0.64137931,0.636363636,0.717514124,0.811965812,0.418994413,0.590361446,0.5
hungary,0.634482759,0.629370629,0.683615819,0.602564103,0.754189944,0.656626506,0.544554455
angola,0.627586207,0.622377622,0.632768362,0.824786325,0.217877095,0.28313253,0.386138614
serbia,0.620689655,0.608391608,0.542372881,0.555555556,0.51396648,0.63253012,0.6
venezuela,0.613793103,0.643356643,0.6,0.782051282,0.162011173,0.096385542,0.1
kazakhstan,0.606896552,0.573426573,0.706214689,0.722222222,0.620111732,0.246987952,0.227722772
azerbaijan,0.6,0.615384615,0.604519774,0.61965812,0.424581006,0.180722892,0.396039604
syria,0.593103448,0.566433566,0.5,0.747863248,0.027932961,0.024096386,0.3
morocco,0.586206897,0.587412587,0.672316384,0.837606838,0.502793296,0.43373494,0.653465347
bulgaria,0.579310345,0.601398601,0.621468927,0.534188034,0.731843575,0.692771084,0.415841584
